year,monthly_fee_for_interest_accounts,monthly_fee_for_non_interest_accounts,overdraft_fee
1998,9.29,5.37,21.57
1999,9.37,5.08,22.62
2000,10.05,4.91,23.74
2001,10.4,4.72,24.7
2002,10.51,4.33,25.3
2003,10.86,3.72,25.8
2004,10.61,3.34,25.81
2005,10.81,3,26.9
2006,10.74,2.52,27.4
2007,11.72,2.26,28.23
2008,11.97,1.93,28.95
2009,12.55,1.77,29.58
2010,13.04,2.49,30.47
2011,14.15,4.37,30.83
2012,14.75,5.48,31.26
2013,14.64,5.54,32.2
2014,14.76,5.26,32.74
2015,15.24,5.86,33.07
2016,15.17,5.78,33.04
2017,14.69,5.84,33.38
2018,14.35,5.57,33.23
2019,15.05,5.61,33.36
2020,15.5,5.27,33.47
2021,16.35,5.08,33.58
